SEX,AGE,YEAR,CREDITS,MAJOR,STUDENT,TEXTBOOKS,SLEEP,STUDY,WEEKSTUDY,PARENTS,SUPER,BLUEARCH,WRECKINGBALL,TUITION,CROSSING,HEADPHONES,HALLWAY,EYECONTACT,BUS,WALKING,COMMUNICATION
F,22,S,16,3,In,300,4,5,35,M,N,N,Y,500,Y,Y,N,N,Y,R,D
M,22,J,16,0,In,300,4,3,21,W,Y,Y,N,6000,Y,Y,Y,S,N,R,W
F,19,So,15,0,In,300,4,6,42,W,Y,Y,N,7500,N,Y,Y,N,N,M,W
F,21,S,15,1,In,300,4,5,35,Mo,Y,Y,N,6750,Y,N,Y,S,N,R,Mo
M,19,S,15,0,In,300,4,4,28,W,N,Y,.,25000,Y,Y,N,Y,Y,R,W
M,19,S,15,0,In,300,4,4,28,W,N,Y,.,25000,Y,Y,N,Y,Y,R,W
M,19,S,15,0,In,300,4,4,28,W,N,Y,.,25000,Y,Y,N,Y,Y,R,W
M,19,S,15,0,In,300,4,4,28,W,N,Y,.,25000,Y,Y,N,Y,Y,R,W
F,18,F,15,9,In,300,4,2,14,W,N,Y,N,20000,N,N,N,N,Y,I,W
M,19,So,14,1,In,282,4,2,14,Mo,N,N,Y,11000,D,S,Y,N,N,R,Mo
F,20,So,18,2,O,280,4,8,56,M,N,N,Y,8000,Y,Y,N,Y,N,R,D
F,20,So,18,2,O,280,4,5,35,M,N,N,Y,8000,Y,Y,N,N,Y,R,D
M,22,J,17,0,In,270,4,2,14,W,N,N,N,11000,Y,N,Y,N,Y,R,W
F,20,S,15,1,In,270,4,4,28,N,N,Y,N,6000,Y,Y,Y,N,Y,R,N
F,18,F,15,0,In,250,4,2,14,Mo,Y,Y,N,7000,Y,Y,Y,N,Y,R,Mo
F,21,S,15,0,In,200,4,6,42,M,Y,N,N,5000,Y,Y,N,S,Y,R,D
M,20,So,15,1,In,200,4,1,7,Mo,Y,Y,N,7000,N,N,Y,S,Y,M,Mo
F,24,J,12,0,In,200,4,2,14,N,Y,N,N,7000,Y,Y,N,Y,Y,M,N
F,20,S,17,2,In,180,4,2,14,W,N,N,W,12000,N,N,N,Y,N,R,W
F,19,So,16,1,I,175,4,1,7,O,N,I,W,15000,N,S,Y,N,N,M,D
F,21,S,12,0,In,173,4,2.5,17.5,M,Y,Y,Y,9000,D,Y,N,S,Y,R,D
M,20,J,14,3,In,170,4,4,28,W,N,N,Y,9100,D,Y,Y,Y,Y,R,W
M,20,S,18,0,In,150,4,12,84,M,N,N,N,12000,Y,N,N,S,N,R,D
M,18,F,15,0,In,150,4,2,14,W,N,N,N,11500,Y,S,Y,S,N,R,W
F,20,S,15,0,In,150,4,2,14,W,Y,Y,N,7500,Y,Y,N,N,Y,R,W
M,19,S,15,1,In,150,4,1,7,W,Y,Y,Y,18000,N,Y,Y,N,Y,R,W
